Author,Quote,URL
Ал-Газали,"Если вы хотите увидеть лампу, надо перестать смотреть на подушку.",http://forismatic.com/ru/4a28a5b428/
Альберт Эйнштейн,"Если в первый момент идея не кажется абсурдной, она безнадёжна.",http://forismatic.com/ru/fc6430dca1/
Владислав Гжещик,"Знаменитые люди делятся на две категории: одних человечество не хочет забыть, других — не может. ",http://forismatic.com/ru/2b14ebefea/
Герберт Кессон,Чистое знание мало что значит. Результаты дает знание действующее. А людей действия не много. Люди обычно инертны. ,http://forismatic.com/ru/4414cad501/
Готфрид Вильгельм Лейбниц ,"Когда какая-нибудь вещь среди творений Бога кажется нам достойной порицания, мы должны заключить, что она недостаточно нами понята и что мудрец, который постиг бы ее, решил бы, что невозможно даже желать чего-либо лучшего.",http://forismatic.com/ru/92e66e7b71/
Джон Рёскин,"В каждый момент нашей жизни мы должны стараться отыскивать не то, что отделяет от других людей, а то, что у нас ними общего. ",http://forismatic.com/ru/eba9366f87/
Калвин Кулидж,"Я никогда не имел неприятностей из-за того, чего я не сказал. ",http://forismatic.com/ru/b69225fa6b/
Карлос Кастанеда,"Есть множество вещей, которые воин может делать в определенное время, из тех, которые несколько лет назад показались бы ему безумием. Сами по себе эти вещи не изменились, изменилось его представление о себе. Невозможное тогда стало вполне возможным сейчас.",http://forismatic.com/ru/8e27c71e2e/
Наполеон Бонапарт,Удача следует за великим человеком.,http://forismatic.com/ru/8aa5d6324a/
Оноре де Бальзак ,"Все, что делаешь, надо делать хорошо, даже если совершаешь безумство.",http://forismatic.com/ru/3650bf4d89/
Ошо,"Жизнь предоставляет миллионы причин для радости. Но этого можно не заметить, если преследовать какую-то цель.",http://forismatic.com/ru/e6b6db2a57/
Платон,"Сила магнита передается от железа к железу подобно тому, как вдохновение музы передается через поэта чтецу и слушателю.",http://forismatic.com/ru/95ff5632b7/
Саади,"Тот, кто дает упрямцу совет, сам нуждается в совете. ",http://forismatic.com/ru/be041c52da/
Софья Бессонова,Невозможное определяется только сознанием.,http://forismatic.com/ru/bfebd9b3fe/
Франц Кафка,"Лгут меньше всего, когда меньше всего лгут, а не тогда, когда для этого меньше всего поводов. ",http://forismatic.com/ru/b9773d2f57/
Хун Цзычен,"Ни в кислом, ни в соленом, ни в горьком, ни в сладком нет настоящего вкуса. Настоящий же вкус неощутим. Ни незаурядный ум, ни поразительный талант не есть достоинства настоящего человека. Достоинства настоящего человека неприметны.",http://forismatic.com/ru/5cd39052f9/
Чак Норрис ,"Встречаясь с незнакомцем, никогда не знаешь заранее, что эта встреча может изменить течение всей твоей жизни, — если только ты не преграждаешь путь самому себе.",http://forismatic.com/ru/42d963362c/
Шри Ауробиндо,"Когда ты слышишь мнение, которое тебе не по нраву, исследуй его и найди в нем правду. ",http://forismatic.com/ru/65014c5974/
Шри Ауробиндо,"Какой смысл в том, чтобы только быть? Говорю тебе: «Свершай становление, именно для этого ты был создан человеком в этом мире материи».",http://forismatic.com/ru/272b41643e/
Эвальд Клейст,"Веселые люди делают больше глупостей, чем грустные, но грустные делают большие глупости. ",http://forismatic.com/ru/ff8245cbd0/
